Product_ID,Category,Subcategory,Price,Brand,Average_Rating_of_Similar_Products,Product_Rating,Customer_Review_Sentiment_Score,Holiday,Season,Geographical_Location,Similar_Product_List,Probability_of_Recommendation
P2015,books,fiction,3954,brand b,3.2,3.6,0.95,no,winter,Germany,"['Fiction', 'Non-fiction', 'Comics']",0.74
P2016,electronics,headphones,3299,brand d,3.9,3.1,0.07,yes,autumn,USA,"['Headphones', 'Smartphone', 'Smartwatch']",0.67
P2017,home decor,curtains,3771,brand a,3.8,3.9,0.39,no,spring,Canada,"['Lamp', 'Wall Art', 'Lamp']",0.38
P2018,home decor,cushions,3252,brand c,3.3,5.0,0.77,yes,autumn,Germany,['Wall Art'],0.64
P2019,books,comics,878,brand c,4.1,4.8,0.29,yes,winter,India,['Biography'],0.8
P2020,fashion,shoes,1549,brand a,4.5,3.3,0.94,no,summer,UK,"['T-shirt', 'Shoes']",0.84
P2021,electronics,headphones,3601,brand b,3.8,4.0,0.13,yes,winter,UK,"['Smartphone', 'Laptop']",0.11
P2022,books,fiction,1935,brand a,3.4,4.9,0.39,yes,autumn,USA,"['Comics', 'Biography', 'Comics']",0.69
P2023,electronics,headphones,2155,brand d,4.6,2.4,0.04,yes,summer,UK,['Laptop'],0.58
P2024,electronics,smartphone,2827,brand c,4.2,3.9,0.22,yes,spring,UK,"['Smartwatch', 'Smartphone', 'Smartphone']",0.52
P2025,electronics,smartphone,1750,brand a,3.1,2.3,0.42,no,summer,Germany,['Laptop'],0.63
P2026,electronics,smartwatch,4626,brand d,4.8,4.7,0.62,no,summer,USA,"['Headphones', 'Headphones']",0.78
P2027,beauty,moisturizer,1360,brand a,3.6,3.8,0.66,yes,spring,Canada,"['Lipstick', 'Moisturizer', 'Moisturizer']",0.38
P2028,books,biography,1677,brand b,2.3,2.3,0.45,no,winter,Germany,['Non-fiction'],0.87
P2029,fitness,resistance bands,3564,brand d,3.9,2.7,0.52,no,winter,Germany,"['Yoga Mat', 'Treadmill']",0.63
P2030,beauty,perfume,3156,brand d,4.1,2.3,0.22,yes,spring,USA,"['Perfume', 'Lipstick']",0.11
P2031,books,non-fiction,1466,brand a,2.3,2.6,0.35,yes,spring,Canada,"['Fiction', 'Fiction', 'Biography']",0.18
P2032,books,non-fiction,133,brand d,2.1,4.5,0.62,no,winter,Germany,"['Fiction', 'Biography', 'Comics']",0.15
P2033,fitness,dumbbells,1015,brand d,2.9,3.5,0.06,no,autumn,Germany,"['Resistance Bands', 'Dumbbells', 'Dumbbells']",0.61
P2034,electronics,laptop,3634,brand a,2.3,2.9,0.77,yes,autumn,India,['Headphones'],0.2
P2035,beauty,moisturizer,2470,brand d,3.5,3.0,0.87,no,winter,Canada,"['Moisturizer', 'Lipstick', 'Perfume']",0.94
P2036,fitness,yoga mat,2716,brand b,2.9,4.0,0.28,yes,summer,India,"['Yoga Mat', 'Resistance Bands', 'Dumbbells']",0.42
P2037,books,biography,3287,brand a,3.9,2.2,0.6,yes,summer,Canada,['Fiction'],0.62
P2038,home decor,wall art,1642,brand a,2.1,4.0,0.46,no,winter,UK,['Curtains'],0.96
P2039,fashion,jeans,4571,brand b,4.8,3.2,0.4,yes,autumn,USA,"['Shoes', 'Jacket', 'Jeans']",0.49
P2040,books,non-fiction,3049,brand d,3.6,2.8,0.8,yes,spring,USA,"['Fiction', 'Fiction']",0.43
P2041,beauty,foundation,4935,brand d,4.9,4.7,0.48,yes,summer,India,"['Lipstick', 'Moisturizer', 'Foundation']",0.96
P2042,books,comics,2523,brand b,4.5,3.0,0.13,no,spring,USA,"['Fiction', 'Comics', 'Fiction']",0.19
P2043,fashion,t-shirt,1287,brand b,3.3,4.3,0.7,yes,winter,UK,"['Shoes', 'Jacket']",0.24
P2044,fashion,jeans,987,brand c,2.9,3.6,0.3,yes,summer,India,['Shoes'],0.4
P2045,books,comics,3077,brand a,2.1,5.0,0.46,no,summer,Germany,"['Fiction', 'Non-fiction']",0.2
P2046,beauty,foundation,629,brand a,3.9,4.9,0.14,yes,winter,Germany,['Moisturizer'],0.49
P2047,electronics,laptop,4619,brand d,2.3,4.4,0.14,no,autumn,India,"['Laptop', 'Laptop']",0.81
P2048,home decor,lamp,3636,brand a,2.7,3.5,0.67,no,summer,USA,"['Curtains', 'Curtains', 'Lamp']",0.11
P2049,fitness,yoga mat,2279,brand d,4.3,4.0,0.11,yes,summer,Germany,"['Treadmill', 'Dumbbells']",0.68
P2050,fitness,dumbbells,815,brand c,3.6,3.5,0.99,no,spring,India,['Treadmill'],0.76
P2051,books,fiction,4811,brand c,3.6,3.3,0.31,yes,winter,UK,['Non-fiction'],0.3
P2052,electronics,headphones,2727,brand d,2.4,3.1,0.81,yes,spring,Germany,"['Laptop', 'Smartphone']",0.5
P2053,fitness,yoga mat,3032,brand b,2.2,4.7,0.12,no,winter,USA,"['Treadmill', 'Treadmill']",0.67
P2054,fashion,jeans,4927,brand d,3.9,2.5,0.17,no,spring,Canada,['Jacket'],0.1
P2055,home decor,wall art,2341,brand b,2.8,2.6,0.62,no,spring,Germany,['Curtains'],0.67
P2056,fitness,yoga mat,4369,brand b,2.8,3.9,0.45,yes,summer,USA,"['Treadmill', 'Resistance Bands']",0.19
P2057,beauty,lipstick,4435,brand b,2.7,3.8,0.8,no,winter,Canada,['Moisturizer'],0.35
P2058,electronics,headphones,4099,brand a,4.7,2.4,0.33,yes,spring,USA,"['Laptop', 'Smartphone']",0.42
P2059,fashion,jeans,4932,brand b,4.3,4.2,0.79,no,winter,UK,"['Shoes', 'Jacket', 'T-shirt']",0.99
P2060,fashion,shoes,2959,brand d,2.6,4.3,0.32,no,autumn,India,['Shoes'],0.71
P2061,books,fiction,2617,brand a,4.7,4.0,0.35,no,spring,India,"['Biography', 'Biography']",0.51
P2062,fitness,resistance bands,441,brand c,4.7,4.9,0.39,no,autumn,Germany,"['Yoga Mat', 'Dumbbells']",0.13
P2063,home decor,curtains,852,brand b,3.0,2.9,0.42,yes,summer,USA,['Cushions'],0.56
P2064,books,fiction,3573,brand c,3.6,4.5,0.36,no,summer,Germany,"['Fiction', 'Non-fiction', 'Biography']",0.94
P2065,home decor,curtains,3375,brand d,4.2,2.4,0.18,yes,spring,India,"['Cushions', 'Cushions']",0.62
P2066,books,non-fiction,769,brand b,2.6,2.4,0.35,no,autumn,India,['Biography'],0.43
P2067,beauty,moisturizer,3415,brand a,3.6,4.7,0.27,no,spring,USA,"['Lipstick', 'Perfume']",0.17
P2068,fitness,yoga mat,2112,brand b,4.0,4.8,0.29,yes,summer,Germany,"['Dumbbells', 'Treadmill']",0.65
P2069,home decor,curtains,2319,brand d,3.8,2.5,0.99,no,autumn,USA,"['Wall Art', 'Curtains']",0.64
P2070,fitness,resistance bands,3078,brand a,3.1,2.5,0.67,no,autumn,India,"['Resistance Bands', 'Yoga Mat']",0.48
P2071,home decor,cushions,2948,brand a,4.3,2.9,0.08,no,winter,Germany,['Cushions'],0.81
P2072,beauty,foundation,2332,brand c,2.4,3.5,0.98,no,winter,India,['Perfume'],0.71
P2073,books,non-fiction,3947,brand d,3.6,3.3,0.44,no,autumn,Germany,"['Biography', 'Biography', 'Biography']",0.15
P2074,fashion,jacket,1758,brand a,2.7,2.3,0.84,yes,spring,UK,"['Jeans', 'Shoes']",0.33
P2075,fitness,resistance bands,3737,brand c,3.2,2.1,0.57,yes,summer,Germany,"['Treadmill', 'Dumbbells']",0.95
P2076,electronics,headphones,1268,brand b,2.9,4.8,0.29,no,summer,India,['Smartphone'],0.39
P2077,beauty,lipstick,4699,brand a,2.6,3.7,0.9,no,summer,Canada,"['Moisturizer', 'Foundation']",0.64
P2078,home decor,curtains,3991,brand c,4.7,4.5,0.36,yes,spring,Germany,"['Curtains', 'Lamp']",0.86
P2079,books,non-fiction,863,brand c,3.7,2.9,0.59,yes,winter,Germany,"['Non-fiction', 'Fiction']",0.58
P2080,books,comics,1356,brand b,3.8,3.9,0.38,yes,spring,UK,"['Fiction', 'Non-fiction', 'Fiction']",0.1
P2081,books,fiction,4909,brand a,2.6,4.8,0.93,yes,spring,Canada,"['Fiction', 'Biography']",0.57
P2082,beauty,foundation,1755,brand c,4.8,5.0,0.63,no,spring,India,"['Perfume', 'Moisturizer', 'Perfume']",0.32
P2083,fashion,jacket,1099,brand b,4.2,4.8,0.72,yes,summer,Canada,"['T-shirt', 'T-shirt']",0.57
P2084,fashion,t-shirt,459,brand c,2.1,3.2,0.81,no,summer,Germany,['Jeans'],0.13
P2085,beauty,lipstick,2547,brand b,4.0,3.9,0.33,no,summer,India,['Perfume'],0.34
P2086,books,fiction,4601,brand b,4.9,3.3,0.71,yes,autumn,Germany,"['Fiction', 'Fiction']",0.75
P2087,books,comics,4953,brand c,4.2,3.2,0.97,yes,spring,India,['Non-fiction'],0.23
P2088,fashion,jeans,2201,brand a,2.2,4.5,0.97,no,winter,Canada,"['Jacket', 'Shoes']",0.85
P2089,electronics,laptop,3821,brand a,2.5,2.1,0.36,yes,winter,Germany,"['Headphones', 'Smartwatch']",0.94
P2090,beauty,moisturizer,559,brand a,2.8,3.5,0.23,no,summer,Germany,['Lipstick'],0.5
P2091,beauty,foundation,188,brand b,2.0,4.0,0.37,no,summer,India,['Lipstick'],0.53
P2092,fashion,t-shirt,2707,brand c,2.4,2.4,1.0,yes,summer,Germany,['T-shirt'],0.32
P2093,home decor,cushions,3112,brand d,3.2,2.2,0.36,no,autumn,UK,"['Wall Art', 'Lamp', 'Curtains']",0.52
P2094,fitness,resistance bands,2516,brand a,2.6,3.9,0.65,yes,summer,UK,"['Yoga Mat', 'Treadmill']",0.29
P2095,beauty,lipstick,2989,brand d,3.8,3.1,0.71,no,winter,Canada,"['Perfume', 'Moisturizer', 'Lipstick']",0.45
P2096,electronics,headphones,3335,brand a,4.1,3.5,0.58,yes,spring,UK,['Smartwatch'],0.48
P2097,fashion,t-shirt,1068,brand d,4.5,4.2,0.4,no,spring,India,"['Jeans', 'T-shirt']",0.65
P2098,fitness,resistance bands,2643,brand d,3.6,2.1,0.37,no,summer,UK,"['Dumbbells', 'Resistance Bands', 'Resistance Bands']",0.51
P2099,fashion,jacket,1108,brand a,5.0,2.9,0.5,no,summer,Canada,"['T-shirt', 'Jeans', 'T-shirt']",0.11
P2100,books,fiction,679,brand b,2.5,2.7,0.86,no,summer,USA,['Non-fiction'],0.23
P2101,books,fiction,2228,brand d,3.3,4.8,0.27,yes,spring,Germany,"['Comics', 'Biography']",0.4
P2102,fitness,resistance bands,3452,brand d,4.2,4.4,0.81,no,winter,UK,"['Dumbbells', 'Treadmill', 'Resistance Bands']",0.77
P2103,electronics,laptop,4636,brand a,4.2,3.6,0.49,yes,summer,USA,"['Smartwatch', 'Smartwatch', 'Headphones']",0.21
P2104,books,fiction,419,brand b,4.7,2.1,0.21,no,spring,Germany,"['Biography', 'Fiction', 'Non-fiction']",0.17
P2105,electronics,headphones,1145,brand b,2.2,2.2,0.91,no,autumn,USA,"['Smartwatch', 'Headphones']",0.56
P2106,fitness,treadmill,1272,brand c,2.8,3.8,0.44,yes,winter,UK,"['Dumbbells', 'Treadmill', 'Treadmill']",0.17
P2107,electronics,headphones,1652,brand a,2.2,3.8,0.55,no,spring,Germany,['Laptop'],0.75
P2108,beauty,lipstick,2638,brand c,4.2,4.2,0.89,no,winter,Canada,['Lipstick'],0.55
P2109,home decor,cushions,1653,brand b,4.6,2.6,0.67,no,autumn,India,['Cushions'],0.76
P2110,electronics,smartwatch,4142,brand a,3.7,3.2,0.37,no,spring,India,"['Headphones', 'Smartphone']",0.58
P2111,fitness,dumbbells,3469,brand a,4.1,3.4,0.62,yes,autumn,USA,['Yoga Mat'],0.7
P2112,fashion,jacket,3950,brand d,3.0,3.4,0.65,yes,autumn,UK,['Jacket'],0.59
P2113,home decor,cushions,2758,brand d,3.4,4.5,0.01,yes,spring,India,"['Curtains', 'Curtains']",0.8
P2114,electronics,smartwatch,1734,brand c,4.4,3.2,0.89,no,autumn,India,['Headphones'],0.13
P2115,beauty,moisturizer,1869,brand d,4.7,4.9,0.39,no,autumn,Germany,"['Lipstick', 'Moisturizer']",0.98
P2116,books,comics,1015,brand d,5.0,4.6,0.84,yes,autumn,UK,"['Comics', 'Comics']",0.8
P2117,fashion,t-shirt,2663,brand a,4.6,4.6,0.87,yes,summer,India,"['Jeans', 'Jeans', 'Jacket']",0.84
P2118,beauty,lipstick,882,brand d,2.4,3.8,0.98,no,autumn,USA,['Moisturizer'],0.16
P2119,books,comics,749,brand d,3.8,2.4,0.4,no,summer,UK,"['Biography', 'Non-fiction', 'Fiction']",0.91
P2120,home decor,cushions,860,brand b,4.1,2.5,0.98,yes,summer,Germany,['Lamp'],0.85
P2121,electronics,laptop,4796,brand d,3.9,4.9,0.74,no,summer,USA,"['Headphones', 'Laptop']",0.36
P2122,beauty,foundation,2438,brand a,4.8,4.4,0.36,yes,autumn,UK,"['Moisturizer', 'Foundation']",0.52
P2123,books,biography,4855,brand d,4.8,2.6,0.19,yes,winter,UK,['Fiction'],0.91
P2124,beauty,perfume,2046,brand c,3.3,2.1,0.4,yes,summer,UK,"['Moisturizer', 'Moisturizer', 'Moisturizer']",0.2
P2125,books,biography,228,brand d,3.4,2.3,0.57,no,summer,India,['Fiction'],0.48
P2126,books,non-fiction,123,brand b,4.5,4.6,0.73,yes,winter,USA,['Fiction'],0.4
P2127,beauty,lipstick,4738,brand b,3.0,3.6,0.9,no,winter,UK,"['Foundation', 'Foundation']",0.27
P2128,home decor,cushions,2891,brand b,2.5,4.2,0.47,yes,summer,India,"['Curtains', 'Curtains']",0.76
P2129,fashion,jeans,624,brand a,3.4,4.7,0.17,yes,winter,UK,"['Jeans', 'Shoes', 'Jacket']",0.74
P2130,fitness,dumbbells,615,brand a,4.5,3.2,0.03,no,winter,India,"['Dumbbells', 'Dumbbells']",0.83
P2131,beauty,moisturizer,1284,brand a,3.1,4.1,0.19,yes,autumn,Canada,"['Perfume', 'Lipstick']",0.61
P2132,books,fiction,511,brand d,2.9,2.9,0.96,yes,summer,USA,"['Fiction', 'Comics']",0.7
P2133,electronics,laptop,1948,brand a,2.5,3.4,0.32,no,winter,India,"['Smartwatch', 'Smartwatch']",0.11
P2134,home decor,lamp,939,brand a,4.2,4.0,0.06,no,summer,Germany,"['Cushions', 'Wall Art']",0.76
P2135,books,biography,4497,brand a,4.7,3.7,0.66,yes,autumn,Canada,"['Non-fiction', 'Non-fiction']",0.27
P2136,fitness,resistance bands,3592,brand c,3.4,4.7,0.24,yes,spring,Germany,"['Dumbbells', 'Treadmill', 'Yoga Mat']",0.8
P2137,fashion,shoes,1910,brand a,4.0,3.8,0.28,no,autumn,Canada,"['T-shirt', 'Jacket', 'Shoes']",0.88
P2138,beauty,perfume,1150,brand c,3.1,2.9,0.11,no,summer,Germany,"['Foundation', 'Moisturizer']",0.58
P2139,beauty,lipstick,432,brand b,3.1,4.0,0.28,no,spring,Germany,"['Moisturizer', 'Foundation']",0.33
P2140,books,non-fiction,505,brand d,3.9,3.8,0.6,yes,summer,Germany,"['Comics', 'Non-fiction']",0.64
P2141,fashion,jeans,4784,brand d,4.7,4.6,0.26,no,winter,Canada,"['Shoes', 'Jacket']",0.21
P2142,fitness,dumbbells,1503,brand c,2.8,4.1,0.64,no,spring,UK,"['Treadmill', 'Resistance Bands']",0.69
P2143,home decor,lamp,1312,brand b,3.3,2.0,0.66,yes,spring,India,"['Lamp', 'Cushions', 'Lamp']",0.18
P2144,electronics,smartwatch,1303,brand a,4.6,3.1,0.9,no,spring,USA,"['Smartwatch', 'Headphones', 'Smartwatch']",0.7
P2145,electronics,laptop,883,brand c,4.3,3.3,0.07,no,autumn,Canada,"['Smartphone', 'Laptop']",0.18
P2146,fashion,shoes,978,brand c,2.8,2.1,0.34,no,spring,Germany,"['Shoes', 'Shoes', 'T-shirt']",0.71
P2147,beauty,perfume,2892,brand a,3.4,2.9,0.16,no,summer,Canada,"['Lipstick', 'Lipstick']",0.23
P2148,home decor,lamp,2537,brand d,3.0,2.2,0.56,yes,spring,USA,"['Lamp', 'Cushions']",0.82
P2149,fitness,yoga mat,2521,brand d,3.8,3.6,0.71,no,summer,Germany,"['Treadmill', 'Dumbbells']",0.79
P2150,books,fiction,4635,brand d,3.9,4.7,0.48,no,autumn,India,"['Biography', 'Comics', 'Biography']",0.66
P2151,electronics,smartwatch,3105,brand a,2.2,4.9,0.56,yes,summer,UK,['Laptop'],0.36
P2152,electronics,laptop,1658,brand a,4.0,3.6,0.65,yes,winter,USA,"['Laptop', 'Smartphone']",0.3
P2153,fitness,yoga mat,3356,brand b,5.0,4.2,0.02,no,spring,Germany,['Resistance Bands'],0.25
P2154,fashion,jeans,3321,brand a,3.4,2.4,0.45,yes,summer,Germany,"['T-shirt', 'T-shirt']",0.89
P2155,beauty,foundation,130,brand b,4.0,4.3,0.49,no,spring,USA,"['Foundation', 'Moisturizer', 'Moisturizer']",0.45
P2156,beauty,moisturizer,3262,brand c,4.1,4.2,0.89,no,spring,Canada,['Lipstick'],0.52
P2157,books,non-fiction,3009,brand b,4.8,4.8,0.48,yes,autumn,USA,"['Fiction', 'Non-fiction']",0.29
P2158,beauty,moisturizer,2601,brand b,2.9,3.6,0.03,yes,summer,Canada,['Perfume'],0.43
P2159,home decor,lamp,1402,brand a,4.8,4.7,0.55,no,summer,India,"['Curtains', 'Cushions', 'Wall Art']",0.42
P2160,fashion,jacket,3998,brand c,3.9,2.0,0.65,no,summer,Germany,"['Shoes', 'Jacket', 'Jacket']",0.42
P2161,books,non-fiction,162,brand c,4.9,4.3,0.79,no,winter,Canada,['Fiction'],0.68
P2162,home decor,wall art,4450,brand d,3.5,2.5,0.12,yes,summer,UK,['Curtains'],0.63
P2163,fitness,yoga mat,3206,brand c,4.2,2.3,0.7,no,spring,India,['Resistance Bands'],0.82
P2164,books,comics,276,brand b,4.8,3.5,0.43,yes,autumn,Canada,"['Comics', 'Biography']",0.92
P2165,beauty,perfume,1891,brand b,2.9,3.0,0.3,yes,spring,Canada,['Foundation'],0.94
P2166,books,fiction,2094,brand b,3.6,3.0,0.13,no,winter,Canada,"['Fiction', 'Non-fiction']",0.53
P2167,home decor,cushions,3627,brand d,4.5,3.2,0.8,no,winter,UK,['Curtains'],0.5
P2168,books,fiction,1187,brand d,4.5,3.1,0.32,yes,summer,India,"['Biography', 'Comics']",0.2
P2169,fashion,t-shirt,590,brand b,2.3,4.8,0.35,yes,autumn,USA,['Shoes'],0.77
P2170,electronics,laptop,411,brand a,2.7,3.2,0.78,no,summer,Canada,"['Smartphone', 'Laptop']",0.2
P2171,fashion,shoes,2789,brand c,2.4,4.2,0.92,yes,winter,Germany,"['Jeans', 'Jacket', 'T-shirt']",0.83
P2172,electronics,laptop,1418,brand d,2.2,2.5,0.14,no,spring,India,['Smartphone'],0.13
P2173,electronics,smartphone,1137,brand d,4.6,2.9,0.76,no,winter,Canada,"['Headphones', 'Smartwatch']",0.4
P2174,electronics,smartphone,2549,brand c,3.9,3.3,0.78,yes,summer,Canada,['Smartwatch'],0.64
P2175,fitness,dumbbells,1368,brand b,3.1,4.3,0.77,no,autumn,UK,"['Dumbbells', 'Yoga Mat', 'Treadmill']",0.97
P2176,fitness,treadmill,1743,brand a,2.1,4.2,0.01,no,spring,UK,['Treadmill'],0.68
P2177,books,comics,3456,brand a,5.0,2.4,0.65,yes,winter,UK,['Comics'],0.54
P2178,beauty,moisturizer,3857,brand c,4.9,2.5,0.19,no,winter,Germany,['Perfume'],0.81
P2179,books,biography,3416,brand a,4.5,2.5,0.11,yes,summer,UK,"['Fiction', 'Non-fiction']",0.95
P2180,electronics,smartphone,4439,brand a,4.7,4.0,0.94,yes,summer,UK,"['Smartphone', 'Smartwatch', 'Headphones']",0.29
P2181,fashion,t-shirt,4880,brand d,4.0,3.1,0.96,yes,winter,India,['Jacket'],0.55
P2182,books,comics,3437,brand a,2.7,4.1,0.68,no,spring,USA,"['Comics', 'Fiction']",0.41
P2183,fitness,resistance bands,3133,brand a,3.9,4.2,0.77,yes,winter,Canada,"['Dumbbells', 'Treadmill', 'Resistance Bands']",0.26
P2184,books,comics,3429,brand b,4.7,2.6,0.39,yes,spring,Germany,"['Fiction', 'Non-fiction']",0.64
P2185,electronics,headphones,4702,brand b,2.2,3.4,0.86,yes,winter,Canada,['Smartphone'],0.31
P2186,beauty,moisturizer,2363,brand a,3.6,3.7,0.07,yes,summer,India,['Moisturizer'],0.2
P2187,beauty,moisturizer,139,brand c,3.8,4.1,0.36,yes,spring,Canada,"['Foundation', 'Moisturizer']",0.22
P2188,home decor,cushions,3621,brand c,2.6,2.9,0.07,yes,summer,UK,"['Curtains', 'Wall Art']",0.97
P2189,fashion,t-shirt,4955,brand a,2.6,2.2,0.22,no,spring,UK,['Jeans'],0.83
P2190,electronics,headphones,3231,brand c,4.8,4.1,0.0,no,summer,India,['Smartphone'],0.18
P2191,books,fiction,4062,brand c,3.1,4.1,0.02,no,summer,Canada,"['Fiction', 'Non-fiction', 'Fiction']",0.73
P2192,fashion,jeans,3271,brand a,3.3,2.7,0.38,yes,winter,USA,"['Jacket', 'T-shirt']",0.63
P2193,home decor,wall art,1513,brand a,5.0,3.6,0.95,yes,spring,Germany,['Lamp'],0.37
P2194,beauty,perfume,338,brand a,2.0,3.5,0.58,yes,autumn,USA,['Lipstick'],0.11
P2195,fashion,jacket,2357,brand d,2.1,4.2,0.14,yes,autumn,Canada,"['Jeans', 'T-shirt']",0.5
P2196,beauty,moisturizer,1360,brand d,3.6,3.4,0.89,yes,autumn,Germany,"['Lipstick', 'Lipstick']",0.51
P2197,beauty,perfume,4755,brand c,4.2,2.3,0.99,yes,summer,USA,"['Lipstick', 'Foundation']",0.14
P2198,books,comics,2956,brand d,4.2,4.0,0.76,yes,winter,India,['Biography'],0.82
P2199,beauty,lipstick,2548,brand b,4.0,3.7,0.52,no,spring,UK,"['Perfume', 'Foundation', 'Moisturizer']",0.72
P2200,books,biography,775,brand c,3.8,3.2,0.12,yes,spring,USA,"['Biography', 'Comics', 'Comics']",0.6
P2201,fashion,shoes,1021,brand c,3.0,2.9,0.44,yes,spring,UK,"['Shoes', 'Jacket', 'Jeans']",0.34
P2202,beauty,lipstick,444,brand b,4.6,3.1,0.02,yes,autumn,India,['Foundation'],0.34
P2203,books,non-fiction,2493,brand b,4.7,3.9,0.66,no,autumn,Germany,"['Fiction', 'Biography', 'Fiction']",0.2
P2204,fashion,jacket,859,brand c,2.2,2.7,0.5,no,spring,Canada,['T-shirt'],0.71
P2205,home decor,lamp,4160,brand a,2.5,4.1,0.55,no,winter,USA,"['Lamp', 'Cushions']",0.52
P2206,electronics,laptop,3514,brand a,3.8,3.8,0.56,yes,spring,Canada,"['Smartphone', 'Headphones']",0.14
P2207,books,comics,3131,brand d,2.6,4.0,0.52,no,autumn,USA,"['Fiction', 'Biography']",0.96
P2208,beauty,foundation,4253,brand b,2.0,2.3,0.9,no,summer,USA,"['Perfume', 'Perfume', 'Moisturizer']",0.29
P2209,beauty,foundation,3425,brand b,4.8,4.2,0.72,yes,summer,India,"['Lipstick', 'Moisturizer', 'Moisturizer']",0.13
P2210,beauty,perfume,4380,brand c,2.5,2.5,0.23,yes,autumn,India,"['Perfume', 'Moisturizer']",0.3
P2211,fitness,treadmill,3261,brand d,4.0,2.4,0.35,yes,summer,USA,"['Resistance Bands', 'Treadmill', 'Yoga Mat']",0.44
P2212,beauty,foundation,2115,brand d,4.8,2.7,0.43,yes,spring,Canada,"['Perfume', 'Perfume']",0.86
P2213,fashion,jacket,759,brand b,3.9,2.3,0.75,yes,spring,USA,"['Shoes', 'T-shirt', 'T-shirt']",0.17
P2214,electronics,headphones,131,brand a,3.1,2.9,0.2,no,summer,Germany,"['Smartwatch', 'Smartwatch']",0.3
P2215,home decor,lamp,3050,brand a,4.4,2.7,0.79,yes,summer,India,['Cushions'],0.24
P2216,electronics,laptop,4847,brand a,3.5,3.7,0.96,no,summer,India,"['Laptop', 'Laptop']",0.38
P2217,books,biography,844,brand b,3.8,3.8,0.62,yes,autumn,Canada,"['Fiction', 'Non-fiction', 'Non-fiction']",0.56
P2218,fitness,treadmill,837,brand b,4.9,2.3,0.92,yes,spring,USA,"['Treadmill', 'Yoga Mat']",0.64
P2219,fitness,treadmill,2920,brand b,2.8,3.3,0.21,no,winter,India,"['Treadmill', 'Resistance Bands', 'Resistance Bands']",0.38
P2220,electronics,smartwatch,4363,brand c,3.6,3.0,0.5,no,summer,India,"['Smartphone', 'Smartwatch']",0.54
P2221,fashion,t-shirt,2889,brand c,4.1,3.8,0.95,no,spring,India,['Jeans'],0.59
P2222,fashion,t-shirt,3796,brand a,2.2,3.7,0.7,no,summer,Germany,['Jacket'],0.28
P2223,fitness,resistance bands,3427,brand d,3.9,3.7,0.37,yes,summer,India,"['Resistance Bands', 'Resistance Bands']",0.81
P2224,home decor,wall art,3993,brand a,3.5,2.1,0.96,yes,summer,India,['Cushions'],0.51
P2225,home decor,lamp,909,brand d,3.0,3.5,0.51,yes,spring,Germany,"['Cushions', 'Curtains']",0.53
P2226,beauty,perfume,3473,brand b,3.1,2.4,0.04,no,autumn,Germany,"['Lipstick', 'Foundation']",0.49
P2227,electronics,laptop,3342,brand d,2.3,4.0,0.65,no,summer,Canada,"['Smartphone', 'Smartphone']",0.64
P2228,books,comics,3692,brand c,4.2,2.2,0.08,yes,summer,USA,"['Non-fiction', 'Biography', 'Biography']",0.31
P2229,electronics,smartwatch,4683,brand a,2.8,3.5,0.41,yes,spring,UK,"['Laptop', 'Laptop']",0.77
P2230,home decor,lamp,1918,brand d,3.6,3.5,0.31,no,summer,Germany,['Lamp'],0.27
