Customer_ID,Age,Gender,Location,Browsing_History,Purchase_History,Customer_Segment,Avg_Order_Value,Holiday,Season
C1058,36,other,mumbai,['Beauty'],['Foundation'],new visitor,2449.43,no,winter
C1059,36,other,bangalore,"['Home Decor', 'Beauty']","['Curtains', 'Moisturizer']",occasional shopper,843.83,yes,summer
C1060,48,other,mumbai,"['Electronics', 'Beauty', 'Fashion']","['Smartwatch', 'Perfume', 'Jeans']",occasional shopper,2132.53,yes,spring
C1061,37,other,chennai,"['Fitness', 'Beauty', 'Books']","['Resistance Bands', 'Foundation', 'Comics']",occasional shopper,2390.81,yes,spring
C1062,55,male,chennai,"['Fashion', 'Electronics']","['Jeans', 'Laptop']",frequent buyer,4719.04,no,winter
C1063,38,male,delhi,['Home Decor'],['Lamp'],occasional shopper,1379.44,yes,autumn
C1064,27,male,delhi,"['Books', 'Home Decor', 'Fashion']","['Non-fiction', 'Curtains', 'Shoes']",new visitor,1740.52,no,spring
C1065,43,other,mumbai,"['Fashion', 'Beauty']","['Jacket', 'Foundation']",new visitor,1261.25,no,autumn
C1066,35,other,mumbai,['Books'],['Non-fiction'],occasional shopper,4934.59,no,spring
C1067,30,other,bangalore,['Fashion'],['T-shirt'],occasional shopper,4339.52,yes,autumn
C1068,21,male,chennai,"['Beauty', 'Home Decor']","['Lipstick', 'Wall Art']",occasional shopper,1571.62,no,spring
C1069,29,female,kolkata,"['Beauty', 'Fitness']","['Lipstick', 'Treadmill']",occasional shopper,4430.92,yes,summer
C1070,55,female,kolkata,"['Fitness', 'Fashion']","['Resistance Bands', 'T-shirt']",occasional shopper,2583.54,no,summer
C1071,50,other,kolkata,"['Electronics', 'Beauty']","['Smartwatch', 'Perfume']",occasional shopper,4057.64,yes,summer
C1072,29,male,kolkata,['Books'],['Fiction'],new visitor,2985.73,no,winter
C1073,48,female,kolkata,"['Home Decor', 'Fitness']","['Wall Art', 'Dumbbells']",frequent buyer,972.96,no,summer
C1074,21,male,mumbai,"['Books', 'Home Decor', 'Beauty']","['Biography', 'Wall Art', 'Lipstick']",new visitor,3338.02,yes,winter
C1075,49,female,kolkata,['Books'],['Non-fiction'],occasional shopper,3612.41,yes,autumn
C1076,35,female,chennai,"['Electronics', 'Home Decor', 'Beauty']","['Laptop', 'Cushions', 'Lipstick']",new visitor,2660.1,no,spring
C1077,40,female,bangalore,['Fitness'],['Resistance Bands'],frequent buyer,878.6,yes,autumn
C1078,60,other,mumbai,"['Fitness', 'Home Decor']","['Dumbbells', 'Cushions']",new visitor,914.2,yes,winter
C1079,39,male,mumbai,['Fitness'],['Yoga Mat'],frequent buyer,1778.57,no,winter
C1080,28,female,mumbai,"['Fashion', 'Books']","['T-shirt', 'Fiction']",new visitor,4708.2,no,spring
C1081,37,other,kolkata,"['Books', 'Home Decor']","['Comics', 'Curtains']",occasional shopper,903.16,no,winter
C1082,57,male,bangalore,"['Electronics', 'Fashion', 'Books']","['Laptop', 'T-shirt', 'Biography']",new visitor,2844.61,yes,autumn
C1083,38,female,bangalore,"['Books', 'Beauty']","['Non-fiction', 'Perfume']",new visitor,4462.32,yes,autumn
C1084,51,male,chennai,"['Fitness', 'Beauty', 'Home Decor']","['Resistance Bands', 'Lipstick', 'Wall Art']",new visitor,3781.14,yes,spring
C1085,47,other,delhi,['Home Decor'],['Curtains'],occasional shopper,4834.07,no,summer
C1086,52,other,chennai,"['Electronics', 'Home Decor']","['Laptop', 'Curtains']",new visitor,865.55,no,summer
C1087,50,female,bangalore,['Fitness'],['Treadmill'],occasional shopper,637.09,no,winter
C1088,49,other,delhi,"['Electronics', 'Beauty']","['Smartphone', 'Moisturizer']",new visitor,2745.8,yes,summer
C1089,25,other,kolkata,['Fitness'],['Dumbbells'],occasional shopper,2536.47,no,autumn
C1090,38,female,kolkata,['Fitness'],['Treadmill'],occasional shopper,1691.33,yes,summer
C1091,54,male,delhi,"['Home Decor', 'Books']","['Cushions', 'Biography']",new visitor,1720.0,no,winter
C1092,37,female,mumbai,['Beauty'],['Moisturizer'],new visitor,2432.5,no,winter
C1093,34,male,kolkata,"['Fitness', 'Beauty']","['Dumbbells', 'Foundation']",occasional shopper,3672.78,no,winter
C1094,40,male,mumbai,"['Home Decor', 'Fashion']","['Cushions', 'Jacket']",frequent buyer,2600.54,no,winter
C1095,33,other,kolkata,"['Home Decor', 'Electronics', 'Beauty']","['Cushions', 'Smartphone', 'Lipstick']",new visitor,1892.74,no,summer
C1096,36,other,mumbai,"['Fitness', 'Home Decor', 'Books']","['Treadmill', 'Cushions', 'Fiction']",occasional shopper,4601.7,yes,summer
C1097,23,other,bangalore,['Electronics'],['Smartwatch'],frequent buyer,1198.51,no,autumn
C1098,57,female,bangalore,['Fitness'],['Treadmill'],new visitor,3728.63,yes,spring
C1099,46,other,bangalore,['Books'],['Fiction'],frequent buyer,3188.38,no,summer
C1100,48,other,delhi,"['Fashion', 'Home Decor', 'Electronics']","['T-shirt', 'Cushions', 'Headphones']",new visitor,4480.95,no,summer
C1101,24,other,bangalore,['Home Decor'],['Lamp'],new visitor,2928.39,yes,winter
C1102,27,other,bangalore,"['Fashion', 'Electronics']","['Jeans', 'Laptop']",frequent buyer,3267.28,yes,spring
C1103,24,female,mumbai,['Electronics'],['Headphones'],new visitor,4875.97,yes,summer
C1104,44,other,mumbai,['Books'],['Fiction'],new visitor,3358.95,yes,spring
C1105,37,female,kolkata,['Beauty'],['Moisturizer'],occasional shopper,675.7,no,spring
C1106,18,male,mumbai,"['Beauty', 'Fitness', 'Books']","['Moisturizer', 'Treadmill', 'Fiction']",frequent buyer,1033.88,yes,spring
C1107,22,other,mumbai,['Books'],['Comics'],new visitor,3210.29,yes,summer
C1108,28,female,kolkata,"['Beauty', 'Electronics', 'Home Decor']","['Moisturizer', 'Smartphone', 'Cushions']",new visitor,4280.95,yes,autumn
C1109,39,other,delhi,['Fashion'],['Jacket'],new visitor,707.86,yes,winter
C1110,30,other,mumbai,['Home Decor'],['Wall Art'],new visitor,3680.83,yes,winter
C1111,51,male,delhi,['Electronics'],['Smartphone'],new visitor,2664.89,no,summer
C1112,41,other,bangalore,['Beauty'],['Foundation'],new visitor,1538.86,yes,spring
C1113,46,female,kolkata,"['Electronics', 'Beauty']","['Headphones', 'Foundation']",occasional shopper,689.17,yes,winter
C1114,55,other,bangalore,"['Electronics', 'Fitness', 'Beauty']","['Smartwatch', 'Yoga Mat', 'Lipstick']",occasional shopper,2889.01,yes,summer
C1115,50,female,chennai,"['Beauty', 'Fashion', 'Home Decor']","['Foundation', 'Jacket', 'Wall Art']",new visitor,4846.36,no,winter
C1116,52,other,kolkata,['Electronics'],['Smartwatch'],occasional shopper,4115.35,no,autumn
C1117,58,other,kolkata,"['Electronics', 'Fashion']","['Headphones', 'Jacket']",frequent buyer,3162.35,no,summer
C1118,44,male,chennai,"['Fashion', 'Books', 'Beauty']","['T-shirt', 'Non-fiction', 'Lipstick']",new visitor,2288.04,no,summer
C1119,44,female,kolkata,"['Books', 'Beauty', 'Home Decor']","['Non-fiction', 'Moisturizer', 'Curtains']",new visitor,3693.36,no,summer
C1120,53,male,delhi,"['Electronics', 'Fitness']","['Laptop', 'Resistance Bands']",frequent buyer,4087.59,yes,autumn
C1121,45,other,mumbai,"['Electronics', 'Fashion', 'Home Decor']","['Smartphone', 'Shoes', 'Curtains']",frequent buyer,1619.37,no,spring
C1122,39,male,bangalore,['Home Decor'],['Lamp'],occasional shopper,4095.29,no,summer
C1123,23,male,bangalore,"['Books', 'Electronics', 'Home Decor']","['Comics', 'Smartphone', 'Curtains']",new visitor,854.07,no,winter
C1124,21,female,delhi,['Books'],['Fiction'],frequent buyer,811.15,no,winter
C1125,31,female,bangalore,"['Books', 'Home Decor']","['Comics', 'Cushions']",occasional shopper,1277.83,yes,summer
C1126,45,male,delhi,"['Books', 'Fitness', 'Fashion']","['Biography', 'Dumbbells', 'T-shirt']",occasional shopper,3129.06,no,winter
C1127,23,female,delhi,"['Books', 'Beauty']","['Comics', 'Foundation']",new visitor,2704.95,no,summer
C1128,22,other,mumbai,"['Fashion', 'Beauty', 'Electronics']","['Jacket', 'Moisturizer', 'Smartwatch']",new visitor,821.95,no,autumn
C1129,21,female,mumbai,['Fitness'],['Resistance Bands'],frequent buyer,4417.75,yes,autumn
C1130,31,female,delhi,['Beauty'],['Moisturizer'],new visitor,1728.21,no,winter
C1131,53,male,bangalore,['Books'],['Biography'],new visitor,2347.31,no,spring
C1132,57,female,kolkata,"['Beauty', 'Electronics', 'Fitness']","['Lipstick', 'Headphones', 'Yoga Mat']",new visitor,3380.34,no,spring
C1133,29,other,delhi,['Home Decor'],['Curtains'],frequent buyer,1020.17,yes,winter
C1134,52,male,kolkata,"['Beauty', 'Electronics']","['Moisturizer', 'Smartphone']",occasional shopper,4454.79,no,summer
C1135,19,other,mumbai,['Home Decor'],['Curtains'],frequent buyer,3528.76,no,summer
C1136,32,other,mumbai,"['Fashion', 'Electronics', 'Fitness']","['Jeans', 'Headphones', 'Resistance Bands']",new visitor,4546.74,no,summer
C1137,60,male,chennai,"['Fashion', 'Books']","['T-shirt', 'Biography']",occasional shopper,4532.0,no,spring
C1138,55,other,delhi,"['Books', 'Electronics']","['Biography', 'Headphones']",occasional shopper,4082.22,yes,spring
C1139,35,other,mumbai,['Fashion'],['T-shirt'],new visitor,1874.77,no,spring
C1140,55,male,bangalore,"['Home Decor', 'Fitness', 'Electronics']","['Lamp', 'Resistance Bands', 'Laptop']",new visitor,4744.3,yes,summer
C1141,39,other,chennai,"['Electronics', 'Home Decor', 'Books']","['Headphones', 'Cushions', 'Comics']",occasional shopper,4656.7,no,summer
C1142,37,female,chennai,"['Fashion', 'Fitness']","['Jacket', 'Yoga Mat']",occasional shopper,895.61,no,autumn
C1143,49,male,kolkata,"['Books', 'Fashion', 'Home Decor']","['Non-fiction', 'Jacket', 'Lamp']",occasional shopper,2195.99,yes,winter
C1144,40,male,bangalore,['Fitness'],['Yoga Mat'],new visitor,1409.14,no,spring
C1145,36,female,delhi,['Electronics'],['Smartphone'],new visitor,4817.15,yes,summer
C1146,36,female,chennai,"['Fashion', 'Electronics', 'Books']","['T-shirt', 'Smartwatch', 'Non-fiction']",occasional shopper,2311.17,yes,winter
C1147,18,other,mumbai,"['Beauty', 'Fashion', 'Fitness']","['Lipstick', 'T-shirt', 'Yoga Mat']",frequent buyer,1348.41,no,spring
C1148,50,male,bangalore,"['Beauty', 'Fashion', 'Home Decor']","['Moisturizer', 'Jeans', 'Cushions']",occasional shopper,1486.47,no,summer
C1149,49,female,delhi,"['Books', 'Fashion']","['Biography', 'Jacket']",new visitor,513.63,no,summer
C1150,56,other,delhi,"['Beauty', 'Home Decor']","['Lipstick', 'Lamp']",occasional shopper,1924.21,no,winter
C1151,54,other,chennai,"['Electronics', 'Beauty', 'Fitness']","['Smartphone', 'Perfume', 'Resistance Bands']",new visitor,1097.17,no,winter
C1152,39,male,mumbai,"['Books', 'Electronics', 'Home Decor']","['Comics', 'Smartwatch', 'Wall Art']",frequent buyer,873.0,yes,summer
C1153,43,male,delhi,"['Fashion', 'Home Decor', 'Fitness']","['Shoes', 'Cushions', 'Treadmill']",new visitor,1788.32,no,spring
C1154,36,female,bangalore,"['Fitness', 'Home Decor', 'Electronics']","['Dumbbells', 'Cushions', 'Smartphone']",new visitor,2714.16,yes,winter
C1155,56,other,mumbai,"['Home Decor', 'Fashion', 'Electronics']","['Cushions', 'Jeans', 'Smartphone']",occasional shopper,1022.44,no,winter
C1156,28,other,chennai,['Electronics'],['Laptop'],occasional shopper,2329.96,yes,autumn
C1157,36,other,bangalore,"['Electronics', 'Beauty']","['Laptop', 'Foundation']",occasional shopper,4999.31,yes,summer
C1158,56,female,chennai,['Fashion'],['T-shirt'],new visitor,731.8,yes,spring
C1159,44,other,mumbai,"['Beauty', 'Electronics', 'Books']","['Foundation', 'Smartphone', 'Fiction']",frequent buyer,1840.36,yes,winter
C1160,24,female,delhi,"['Books', 'Fitness']","['Non-fiction', 'Treadmill']",occasional shopper,1329.86,yes,spring
C1161,19,male,mumbai,['Fashion'],['Jacket'],new visitor,4802.74,yes,autumn
C1162,50,female,mumbai,"['Fashion', 'Electronics']","['T-shirt', 'Smartphone']",new visitor,732.86,no,summer
C1163,29,male,mumbai,['Fashion'],['Jacket'],new visitor,4306.68,yes,winter
C1164,27,other,delhi,['Electronics'],['Headphones'],occasional shopper,4092.64,no,spring
C1165,42,female,bangalore,['Home Decor'],['Cushions'],new visitor,932.38,yes,spring
C1166,31,male,kolkata,"['Books', 'Fitness', 'Electronics']","['Comics', 'Treadmill', 'Headphones']",occasional shopper,1933.74,no,spring
C1167,22,male,kolkata,"['Electronics', 'Beauty', 'Fitness']","['Smartphone', 'Perfume', 'Treadmill']",new visitor,3967.92,no,winter
C1168,58,other,mumbai,['Electronics'],['Smartphone'],frequent buyer,3729.07,no,winter
C1169,43,female,mumbai,"['Home Decor', 'Fitness']","['Wall Art', 'Yoga Mat']",new visitor,1485.71,no,spring
C1170,54,female,bangalore,"['Fitness', 'Home Decor', 'Books']","['Dumbbells', 'Lamp', 'Fiction']",occasional shopper,1771.49,no,winter
C1171,22,other,bangalore,"['Electronics', 'Books', 'Fashion']","['Smartwatch', 'Comics', 'T-shirt']",occasional shopper,3775.28,yes,spring
C1172,22,male,delhi,['Fitness'],['Dumbbells'],frequent buyer,4392.68,yes,winter
C1173,19,other,mumbai,['Electronics'],['Smartphone'],occasional shopper,765.61,no,spring
C1174,58,female,chennai,"['Fitness', 'Books']","['Yoga Mat', 'Comics']",occasional shopper,4122.12,no,spring
C1175,20,male,kolkata,"['Fashion', 'Home Decor']","['Jacket', 'Wall Art']",occasional shopper,1297.55,yes,autumn
C1176,53,female,kolkata,"['Books', 'Fashion', 'Fitness']","['Biography', 'Shoes', 'Dumbbells']",frequent buyer,1502.71,no,summer
C1177,36,other,delhi,"['Home Decor', 'Beauty', 'Electronics']","['Wall Art', 'Foundation', 'Headphones']",frequent buyer,2101.66,yes,winter
C1178,30,other,kolkata,['Books'],['Biography'],frequent buyer,2477.44,no,winter
C1179,50,female,bangalore,"['Home Decor', 'Fitness', 'Books']","['Wall Art', 'Treadmill', 'Fiction']",frequent buyer,926.42,no,spring
C1180,46,female,kolkata,"['Books', 'Electronics', 'Fitness']","['Fiction', 'Headphones', 'Yoga Mat']",new visitor,2049.9,yes,autumn
C1181,28,male,chennai,['Home Decor'],['Wall Art'],new visitor,3817.02,yes,spring
C1182,50,other,bangalore,['Electronics'],['Smartwatch'],frequent buyer,1431.02,yes,winter
C1183,33,other,kolkata,"['Fashion', 'Beauty']","['Jacket', 'Foundation']",new visitor,3181.99,yes,autumn
C1184,25,male,mumbai,"['Fitness', 'Home Decor']","['Dumbbells', 'Wall Art']",occasional shopper,2276.33,no,summer
C1185,43,male,kolkata,"['Books', 'Beauty', 'Home Decor']","['Biography', 'Lipstick', 'Wall Art']",new visitor,4149.93,yes,spring
C1186,47,male,kolkata,['Beauty'],['Perfume'],new visitor,2881.3,yes,autumn
C1187,22,female,chennai,"['Fitness', 'Fashion', 'Electronics']","['Dumbbells', 'T-shirt', 'Smartwatch']",frequent buyer,4537.95,no,spring
C1188,43,male,kolkata,"['Fitness', 'Books']","['Yoga Mat', 'Biography']",new visitor,4636.1,no,winter
C1189,40,female,kolkata,"['Fashion', 'Beauty']","['Shoes', 'Moisturizer']",occasional shopper,4215.35,yes,spring
C1190,37,female,delhi,"['Beauty', 'Fashion']","['Lipstick', 'Shoes']",new visitor,1951.7,no,winter
C1191,42,male,delhi,"['Fitness', 'Books', 'Beauty']","['Resistance Bands', 'Non-fiction', 'Foundation']",occasional shopper,3794.89,no,autumn
C1192,34,female,kolkata,"['Home Decor', 'Electronics', 'Beauty']","['Cushions', 'Laptop', 'Lipstick']",new visitor,2103.78,no,summer
C1193,44,female,bangalore,"['Fitness', 'Beauty', 'Books']","['Treadmill', 'Moisturizer', 'Comics']",new visitor,1634.68,no,spring
C1194,35,other,mumbai,"['Home Decor', 'Beauty']","['Wall Art', 'Perfume']",frequent buyer,1083.56,no,autumn
C1195,59,other,kolkata,"['Fitness', 'Fashion', 'Home Decor']","['Resistance Bands', 'T-shirt', 'Cushions']",occasional shopper,2149.96,no,autumn
C1196,18,male,kolkata,"['Electronics', 'Fitness', 'Home Decor']","['Smartphone', 'Resistance Bands', 'Wall Art']",occasional shopper,1493.08,no,summer
C1197,45,female,bangalore,"['Electronics', 'Fashion', 'Fitness']","['Smartwatch', 'T-shirt', 'Resistance Bands']",occasional shopper,3949.62,yes,summer
C1198,50,male,kolkata,['Fitness'],['Dumbbells'],frequent buyer,2054.58,yes,spring
C1199,30,female,bangalore,['Fitness'],['Yoga Mat'],occasional shopper,1562.61,yes,winter
C1200,58,male,bangalore,"['Home Decor', 'Books']","['Cushions', 'Biography']",occasional shopper,562.34,yes,summer
C1201,30,male,bangalore,"['Fitness', 'Fashion', 'Home Decor']","['Yoga Mat', 'Jeans', 'Lamp']",frequent buyer,3649.46,yes,spring
C1202,54,male,delhi,['Home Decor'],['Wall Art'],occasional shopper,2638.41,yes,spring
C1203,41,male,delhi,['Books'],['Fiction'],occasional shopper,4106.24,no,winter
C1204,55,female,kolkata,['Beauty'],['Foundation'],frequent buyer,2908.87,no,autumn
C1205,37,male,mumbai,"['Home Decor', 'Fashion', 'Electronics']","['Wall Art', 'Jeans', 'Smartwatch']",new visitor,3105.68,yes,autumn
C1206,40,other,bangalore,"['Electronics', 'Books']","['Headphones', 'Biography']",occasional shopper,1998.13,yes,winter
C1207,37,other,mumbai,"['Fitness', 'Electronics']","['Dumbbells', 'Laptop']",frequent buyer,2693.23,yes,spring
C1208,18,male,bangalore,"['Home Decor', 'Fitness', 'Beauty']","['Curtains', 'Resistance Bands', 'Moisturizer']",new visitor,2480.8,no,spring
C1209,50,male,delhi,['Fashion'],['Shoes'],occasional shopper,3368.07,no,spring
C1210,30,female,chennai,"['Fitness', 'Electronics', 'Fashion']","['Resistance Bands', 'Smartphone', 'Shoes']",new visitor,2576.21,no,spring
C1211,32,other,chennai,"['Beauty', 'Home Decor']","['Moisturizer', 'Wall Art']",occasional shopper,3718.74,yes,winter
C1212,39,female,delhi,"['Fitness', 'Electronics', 'Fashion']","['Resistance Bands', 'Smartphone', 'Jeans']",frequent buyer,4307.45,yes,summer
C1213,59,male,delhi,"['Fashion', 'Electronics', 'Fitness']","['Jacket', 'Smartwatch', 'Dumbbells']",frequent buyer,1806.11,no,autumn
C1214,57,female,chennai,"['Beauty', 'Home Decor', 'Fashion']","['Foundation', 'Curtains', 'T-shirt']",new visitor,4910.24,no,autumn
C1215,21,female,chennai,"['Books', 'Fitness', 'Electronics']","['Biography', 'Yoga Mat', 'Smartphone']",frequent buyer,1304.36,yes,winter
C1216,22,female,bangalore,['Beauty'],['Foundation'],occasional shopper,1272.45,no,winter
C1217,34,female,mumbai,"['Beauty', 'Home Decor']","['Lipstick', 'Cushions']",occasional shopper,4681.85,yes,spring
C1218,41,male,delhi,"['Electronics', 'Beauty']","['Laptop', 'Foundation']",new visitor,2147.49,yes,winter
C1219,20,other,delhi,['Fashion'],['Jacket'],new visitor,3875.36,yes,spring
C1220,50,female,kolkata,"['Books', 'Home Decor']","['Biography', 'Lamp']",occasional shopper,2248.82,no,summer
C1221,58,female,bangalore,['Beauty'],['Perfume'],frequent buyer,2072.61,no,autumn
C1222,48,male,bangalore,"['Home Decor', 'Fashion', 'Beauty']","['Cushions', 'Jeans', 'Foundation']",new visitor,4740.53,no,winter
C1223,30,male,kolkata,['Fitness'],['Yoga Mat'],occasional shopper,4877.4,yes,autumn
C1224,57,male,mumbai,"['Home Decor', 'Books', 'Beauty']","['Cushions', 'Biography', 'Perfume']",frequent buyer,2949.72,yes,spring
C1225,37,other,bangalore,"['Electronics', 'Books']","['Smartphone', 'Fiction']",occasional shopper,2247.56,yes,spring
C1226,48,male,mumbai,"['Beauty', 'Electronics']","['Lipstick', 'Headphones']",frequent buyer,3242.66,yes,autumn
C1227,52,other,bangalore,"['Beauty', 'Home Decor', 'Fitness']","['Moisturizer', 'Lamp', 'Resistance Bands']",occasional shopper,2366.2,no,spring
C1228,46,male,kolkata,"['Home Decor', 'Fashion', 'Books']","['Cushions', 'Jacket', 'Biography']",occasional shopper,3207.11,yes,spring
C1229,45,female,delhi,['Electronics'],['Laptop'],occasional shopper,1264.96,yes,summer
C1230,35,male,delhi,['Fitness'],['Yoga Mat'],new visitor,4169.1,yes,summer
C1231,26,male,bangalore,['Fashion'],['Jacket'],occasional shopper,4669.89,yes,winter
C1232,21,other,chennai,"['Electronics', 'Fitness', 'Fashion']","['Smartphone', 'Resistance Bands', 'Shoes']",frequent buyer,2884.71,yes,summer
